zone,mant,pop,er,empe1,empe2,str,st,stu,stur,shop,park,hospb,vp,vm,emp,cbd
175,7,16854,5250,350,1027,2331,1222,0,1557,609,193,0,0.252,0.073,1300.39,0
176,7,1383,450,3179,3326,127,142,621,128,174,0,0,0.536,0.108,4606.82,1
177,7,2045,563,2540,2540,186,51,25,189,1473,2776,131,0.385,0.058,3212.21,0
178,7,1278,377,829,829,105,0,0,118,358,808,0,0.499,0.058,911.27,0
179,7,6850,2134,4552,4942,699,953,0,633,3692,1913,0,0.387,0.014,6919.93,0
180,7,4235,1311,4966,5236,455,2104,0,391,1024,35986,0,0.406,0.058,7901.8,0
181,7,3309,1379,3990,4435,523,0,2287,306,5,515,0,0.235,0.102,7352.2,0
182,7,10192,3256,598,598,1112,485,0,942,267,59763,0,0.303,0.052,1223.72,0
183,7,13729,4186,451,514,1825,511,0,1268,263,0,0,0.255,0.032,680.47,0
184,7,23966,7443,877,1101,2816,2823,0,2214,576,26131,0,0.284,0.069,2662.32,0
185,7,10884,3075,596,826,1535,2183,669,1006,1021,3797,124,0.237,0.08,1645.66,0
186,7,13162,3849,312,369,1834,849,0,1216,690,573,0,0.261,0.09,887.19,0
187,7,12823,3828,439,512,1776,2333,0,1185,618,5496,0,0.241,0.083,1194.29,0
188,7,0,0,1511,1627,0,0,0,0,0,174,0,0.014,0.058,2096.7,0
189,7,5212,1520,2485,2924,513,540,0,482,643,20600,0,0.372,0.019,4460.83,0
190,7,9426,2964,4618,4808,929,279,0,871,1655,22274,0,0.541,0.018,7724.71,0
191,7,1144,389,1509,1748,117,312,0,106,283,0,0,0.298,0.103,2950.91,0
192,7,8463,2802,3974,4583,793,933,428,782,230,6566,0,0.372,0.032,5029.98,0
193,16,18149,5185,1168,2186,2752,3688,0,843,371,163831,0,0.212,0.054,3533.76,0
194,16,4320,1171,674,1561,674,4534,0,201,3355,169942,0,0.2,0.044,2405.93,0
195,16,27095,7786,542,985,4478,1893,0,1258,141,0,0,0.253,0.086,2695.32,0
196,16,11175,3157,1672,2194,1719,2052,0,519,565,0,0,0.271,0.048,4758.53,0
197,16,18881,5022,4475,5442,2899,5267,0,877,1539,126255,0,0.308,0.048,8104.02,0
198,16,13442,3819,991,1305,2076,4147,0,624,448,0,0,0.243,0.042,2980.35,0
199,16,21650,6405,1095,2663,3426,1118,0,1006,776,8504,159,0.194,0.082,5285.93,0
200,16,14251,3981,949,1297,2299,4012,0,662,862,0,0,0.208,0.093,3822.76,0
201,16,14242,4104,877,1197,2399,1944,0,661,2506,343466,0,0.234,0.112,3665.16,0
202,16,30145,8662,603,705,5068,2700,0,1400,1514,256031,0,0.25,0.072,1684.46,0
203,16,28467,8042,3705,4065,4551,2807,0,1322,442,19214,50,0.272,0.074,7733.57,0
204,16,591,165,3008,3510,86,0,0,27,0,275497,107,0.343,0.083,5078.12,0
205,16,19370,5097,878,1175,2964,1037,0,900,283,12085,0,0.227,0.077,3630.15,0
206,16,27391,7463,1146,1469,4250,6148,0,1272,2074,21965,0,0.206,0.081,2779.98,0
207,16,1195,317,1504,1767,247,0,0,56,131,0,0,0.094,0.171,2353.19,0
208,16,4437,1177,766,1389,650,0,0,206,1353,128264,0,0.263,0.025,2257.69,0
209,16,1965,678,759,1077,325,163,749,91,2263,68669,0,0.153,0.048,2158.5,0
210,16,3,1,699,897,0,0,0,0,0,0,0,0.014,0.083,2412.33,0
211,16,5331,1754,1002,1822,898,1692,1224,248,2145,138041,49,0.052,0.236,6131.63,0
212,16,11,5,565,740,0,0,0,1,0,407897,0,0.014,0.083,1859.32,0
213,16,2221,671,1710,2387,311,550,0,103,2369,0,0,0.117,0.134,5200.65,0
214,19,11744,3384,405,664,2146,2870,0,360,563,106817,0,0.257,0.03,1148.9,0
215,19,24890,6857,1357,2607,4256,3925,0,763,528,0,0,0.28,0.061,7396.68,0
216,19,11509,3279,520,693,2027,4898,0,353,521,24306,0,0.185,0.102,1798.7,0
217,19,15337,4407,840,1505,2742,0,243,470,1497,2738867,0,0.275,0.038,2338.43,0
218,19,26999,7377,984,1409,4556,2084,0,827,1584,12679,0,0.247,0.059,2640.71,0
219,19,6651,1879,426,426,1023,2071,0,204,23,51756,0,0.293,0.042,695.44,0
220,19,24745,6724,1389,1873,4349,8703,6631,758,340,336139,0,0.263,0.059,3099.87,0
221,19,17098,4913,342,342,3098,1837,0,524,205,147417,0,0.216,0.084,1110.69,0
222,19,4937,1501,479,637,868,1918,0,151,4297,61042,0,0.357,0.064,1309.47,0
